%time,field.data
1698138184648202896,3.227
1698138184748341083,3.227
1698138184848372936,3.227
1698138184948235988,3.227
1698138185048254013,3.227
1698138185148578882,3.227
1698138185248187065,3.227
1698138185348623991,3.227
1698138185448621034,3.227
1698138185548492908,3.227
1698138185648277044,3.227
1698138185748629093,3.227
1698138185848033905,3.227
1698138185948405981,3.227
1698138186048453092,3.227
1698138186149235963,3.227
1698138186248361110,3.227
1698138186348686933,3.227
1698138186448430061,3.227
1698138186548604965,3.227
1698138186648297071,3.227
1698138186748740911,3.227
1698138186848742008,3.227
1698138186948539972,3.227
1698138187048360109,3.227
1698138187147998094,3.227
1698138187247904062,3.227
1698138187347654104,3.227
1698138187448221921,3.227
1698138187548310041,3.227
1698138187622145891,3.227
1698138187648339033,3.227
1698138187721714973,3.227
1698138187748298883,3.227
1698138187821821928,3.227
1698138187848299026,3.227
1698138187921643018,3.227
1698138187948476076,3.227
1698138188021905899,3.227
1698138188048300981,3.227
1698138188121567010,3.227
1698138188148443937,3.227
1698138188221316099,3.227
1698138188248235940,3.227
1698138188321400880,3.227
1698138188348337888,3.227
1698138188421753883,3.227
1698138188448116064,3.227
1698138188521588087,3.227
1698138188548115968,3.227
1698138188621781110,3.227
1698138188648555994,3.227
1698138188721735954,3.227
1698138188748435020,3.227
1698138188822031974,3.227
1698138188848539113,3.227
1698138188921521902,3.227
1698138188947851896,3.227
1698138189021317958,3.227
1698138189048265933,3.227
1698138189121912956,3.227
1698138189148515939,3.227
1698138189221525907,3.227
1698138189248394012,3.227
1698138189321286916,3.227
1698138189348438024,3.227
1698138189421183109,3.227
1698138189448191881,3.227
1698138189521567106,3.227
1698138189548415899,3.227
1698138189621598005,3.227
1698138189648164987,3.227
1698138189721592903,3.227
1698138189748477935,3.227
1698138189821657896,3.227
1698138189848278999,3.227
1698138189921787977,3.227
1698138189948880910,3.227
1698138190021868944,3.227
1698138190048513889,3.227
1698138190121722936,3.227
1698138190148658037,3.227
1698138190221936941,3.227
1698138190248327016,3.227
1698138190321489095,3.227
1698138190348632097,3.227
1698138190421494007,3.227
1698138190448708057,3.227
1698138190521802902,3.227
1698138190548507928,3.227
1698138190621848106,3.227
1698138190648475885,3.227
1698138190721709012,3.227
1698138190748722076,3.227
1698138190821536064,3.227
1698138190848401069,3.227
1698138190921637058,3.227
1698138190948307991,3.227
1698138191021465063,3.227
1698138191048237085,3.227
1698138191121756076,3.227
1698138191148732900,3.227
1698138191221740007,3.227
1698138191248255968,3.227
1698138191321780920,3.227
1698138191348457098,3.227
1698138191421997070,3.227
1698138191448424100,3.227
1698138191521714925,3.227
1698138191548650026,3.227
1698138191621771097,3.227
1698138191648638010,3.227
1698138191721818923,3.227
1698138191748526096,3.227
1698138191822083950,3.227
1698138191848575115,3.227
1698138191921545982,3.227
1698138191948613882,3.227
1698138192021753072,3.227
1698138192048090934,3.227
1698138192121454000,3.227
1698138192148468971,3.227
1698138192221584081,3.227
1698138192248469114,3.227
1698138192321913003,3.227
1698138192348567962,3.227
1698138192421700954,3.227
1698138192448259115,3.227
1698138192521569967,3.227
1698138192548439025,3.227
1698138192621726989,3.227
1698138192648452043,3.227
1698138192721714973,3.227
1698138192748718023,3.227
1698138192822099924,3.227
1698138192848701953,3.227
1698138192921715021,3.227
1698138192948566913,3.227
1698138193021920919,3.227
1698138193048432111,3.227
1698138193121830940,3.227
1698138193148727893,3.227
1698138193221705913,3.227
1698138193248251914,3.227
1698138193321379899,3.227
1698138193348330020,3.227
1698138193421673059,3.227
1698138193448322057,3.227
1698138193521697998,3.227
1698138193548522949,3.227
1698138193621961116,3.227
1698138193648360967,3.227
1698138193721693038,3.227
1698138193748560905,3.227
1698138193821825027,3.227
1698138193848386049,3.227
1698138193921890020,3.227
1698138193948532104,3.227
1698138194021862030,3.227
1698138194048341989,3.227
1698138194121597051,3.227
1698138194148443937,3.227
1698138194221838951,3.227
1698138194248367071,3.227
1698138194321625947,3.227
1698138194348371028,3.227
1698138194422000885,3.227
1698138194448400974,3.227
1698138194521648883,3.227
1698138194548557043,3.227
1698138194621792078,3.227
1698138194648428916,3.227
1698138194721486091,3.227
1698138194748795032,3.227
1698138194821434974,3.227
1698138194848223924,3.227
1698138194921336889,3.227
1698138194948446989,3.227
1698138195021585941,3.227
1698138195048299074,3.227
1698138195121577024,3.227
1698138195148472070,3.227
1698138195221486091,3.227
1698138195248233079,3.227
1698138195321409940,3.227
1698138195348398923,3.227
1698138195421654939,3.227
1698138195447993040,3.227
1698138195521642923,3.227
1698138195548599958,3.227
1698138195621965885,3.227
1698138195648327112,3.227
1698138195721551895,3.227
1698138195748574018,3.227
1698138195821546077,3.227
1698138195848381042,3.227
1698138195921595096,3.227
1698138195948558092,3.227
1698138196021920919,3.227
1698138196048155069,3.227
1698138196121449947,3.227
1698138196148545980,3.227
1698138196221683979,3.227
1698138196248205900,3.227
1698138196321434020,3.227
1698138196348407030,3.227
1698138196421693086,3.227
1698138196448254108,3.227
1698138196521403074,3.227
1698138196548398971,3.227
1698138196621340990,3.227
1698138196648298025,3.227
1698138196721453905,3.227
1698138196748347043,3.227
1698138196821752071,3.227
1698138196848288059,3.227
1698138196921519994,3.227
1698138196948699951,3.227
1698138197021666049,3.227
1698138197048273086,3.227
1698138197121773004,3.227
1698138197148374080,3.227
1698138197221455097,3.227
1698138197248224020,3.227
1698138197321584939,3.227
1698138197348342895,3.227
1698138197421835899,3.227
1698138197448458909,3.227
1698138197521312952,3.227
1698138197548399925,3.227
