%time,field.data
1698138265848469018,-0.01
1698138265948543071,-0.01
1698138266048325061,-0.01
1698138266148627042,-0.01
1698138266248620033,-0.01
1698138266348383903,-0.01
1698138266448652029,-0.01
1698138266548532009,-0.01
1698138266648498058,-0.01
1698138266748342037,-0.01
1698138266848140001,-0.01
1698138266948308944,-0.01
1698138267048310995,-0.01
1698138267148422002,-0.01
1698138267248711109,-0.01
1698138267348298072,-0.01
1698138267448415040,-0.01
1698138267548880100,-0.01
1698138267648288011,-0.01
1698138267748493909,-0.01
1698138267848561048,-0.01
1698138267948345899,-0.01
1698138268048135995,-0.01
1698138268148531913,-0.01
1698138268248485088,-0.01
1698138268348603963,-0.01
1698138268448133945,-0.01
1698138268548481941,-0.01
1698138268648339033,-0.01
1698138268748435020,-0.01
1698138268848304033,-0.01
1698138268948297023,-0.01
1698138269048391103,-0.01
1698138269148587942,-0.01
1698138269248364925,-0.01
1698138269347843885,-0.01
1698138269447807073,-0.01
1698138269547873020,-0.01
1698138269648180007,-0.01
1698138269748524904,-0.01
1698138269760629892,-0.01
1698138269848376989,-0.01
1698138269860407114,-0.01
1698138269948478937,-0.01
1698138269960402965,-0.01
1698138270048540115,-0.01
1698138270060158014,-0.01
1698138270148617029,-0.01
1698138270160521030,-0.01
1698138270248394966,-0.01
1698138270260109901,-0.01
1698138270348483085,-0.01
1698138270359807014,-0.01
1698138270448293924,-0.01
1698138270460059881,-0.01
1698138270548738956,-0.01
1698138270560621023,-0.01
1698138270648242950,-0.01
1698138270660294055,-0.01
1698138270748641014,-0.01
1698138270760369062,-0.01
1698138270848346948,-0.01
1698138270860441923,-0.01
1698138270948568105,-0.01
1698138270960722923,-0.01
1698138271048203945,-0.01
1698138271060153007,-0.01
1698138271148267030,-0.01
1698138271160064935,-0.01
1698138271248080968,-0.01
1698138271260543107,-0.01
1698138271348278045,-0.01
1698138271360064983,-0.01
1698138271448380947,-0.01
1698138271460052967,-0.01
1698138271548687934,-0.01
1698138271559999942,-0.01
1698138271648499011,-0.01
1698138271660258054,-0.01
1698138271748373985,-0.01
1698138271760250091,-0.01
1698138271848371982,-0.01
1698138271860244035,-0.01
1698138271948512077,-0.01
1698138271960180044,-0.01
1698138272048353910,-0.01
1698138272060484886,-0.01
1698138272148814916,-0.01
1698138272160701036,-0.01
1698138272248570919,-0.01
1698138272260123014,-0.01
1698138272348453998,-0.01
1698138272360475063,-0.01
1698138272448399066,-0.01
1698138272460371971,-0.01
1698138272548398017,-0.01
1698138272559998035,-0.01
1698138272648402929,-0.01
1698138272660542964,-0.01
1698138272748506069,-0.01
1698138272760618925,-0.01
1698138272848155021,-0.01
1698138272860384941,-0.01
1698138272948491096,-0.01
1698138272960186958,-0.01
1698138273048167943,-0.01
1698138273060293912,-0.01
1698138273148610115,-0.01
1698138273160001993,-0.01
1698138273248361110,-0.01
1698138273260258913,-0.01
1698138273348722934,-0.01
1698138273360471010,-0.01
1698138273448621988,-0.01
1698138273460464954,-0.01
1698138273548423051,-0.01
1698138273560643911,-0.01
1698138273648657083,-0.01
1698138273660324096,-0.01
1698138273748691082,-0.01
1698138273760368108,-0.01
1698138273848532915,-0.01
1698138273860606908,-0.01
1698138273948510885,-0.01
1698138273960742950,-0.01
1698138274048151016,-0.01
1698138274060236930,-0.01
1698138274148471117,-0.01
1698138274160388946,-0.01
1698138274248543024,-0.01
1698138274260163068,-0.01
1698138274348685979,-0.01
1698138274360280990,-0.01
1698138274448522090,-0.01
1698138274460695028,-0.01
1698138274548499107,-0.01
1698138274560453891,-0.01
1698138274648462057,-0.01
1698138274660053014,-0.01
1698138274748370885,-0.01
1698138274760202884,-0.01
1698138274848500013,-0.01
1698138274860234975,-0.01
1698138274948282957,-0.01
1698138274960796117,-0.01
1698138275048305034,-0.01
1698138275060347080,-0.01
1698138275148365020,-0.01
1698138275160598993,-0.01
1698138275248645067,-0.01
1698138275260565042,-0.01
1698138275348261117,-0.01
1698138275360332012,-0.01
1698138275448175907,-0.01
1698138275460021972,-0.01
1698138275548593044,-0.01
1698138275560209035,-0.01
1698138275648202896,-0.01
1698138275660537958,-0.01
1698138275748815059,-0.01
1698138275760684013,-0.01
1698138275848337888,-0.01
1698138275860241889,-0.01
1698138275948559999,-0.01
1698138275960422992,-0.01
1698138276048393964,-0.01
1698138276060755968,-0.01
1698138276148607015,-0.01
1698138276160471916,-0.01
1698138276248433113,-0.01
1698138276260257959,-0.01
1698138276348831892,-0.01
1698138276360481977,-0.01
1698138276448195934,-0.01
1698138276460289955,-0.01
1698138276548506975,-0.01
1698138276560587882,-0.01
1698138276648549079,-0.01
1698138276660311937,-0.01
1698138276748589038,-0.01
1698138276760323047,-0.01
1698138276848900079,-0.01
1698138276860286951,-0.01
1698138276948853969,-0.01
1698138276960164070,-0.01
1698138277048479080,-0.01
1698138277060012102,-0.01
1698138277148650884,-0.01
1698138277160258054,-0.01
1698138277248300075,-0.01
1698138277260313987,-0.01
1698138277348278045,-0.01
1698138277360203027,-0.01
1698138277448098897,-0.01
1698138277460160970,-0.01
1698138277548444986,-0.01
1698138277560323953,-0.01
1698138277648595094,-0.01
1698138277660200119,-0.01
1698138277748158931,-0.01
1698138277760684013,-0.01
1698138277848453044,-0.01
1698138277860165119,-0.01
1698138277948462963,-0.01
1698138277960092067,-0.01
1698138278048285007,-0.01
1698138278060550928,-0.01
1698138278148412942,-0.01
1698138278160629987,-0.01
1698138278248914003,-0.01
1698138278260171890,-0.01
1698138278348717927,-0.01
1698138278360332965,-0.01
1698138278448477029,-0.01
1698138278460216045,-0.01
1698138278548516035,-0.01
1698138278560348033,-0.01
1698138278648354053,-0.01
1698138278660018920,-0.01
1698138278748979091,-0.01
1698138278759973049,-0.01
1698138278848366975,-0.01
1698138278860112905,-0.01
1698138278948446035,-0.01
1698138278960475921,-0.01
1698138279048387050,-0.01
1698138279060215950,-0.01
1698138279148505926,-0.01
1698138279160345077,-0.01
1698138279248651027,-0.01
1698138279260406017,-0.01
1698138279348340988,-0.01
1698138279360174894,-0.01
1698138279448482036,-0.01
1698138279460402011,-0.01
1698138279548849105,-0.01
1698138279560441970,-0.01
1698138279648185014,-0.01
1698138279659992933,-0.01
1698138279748632907,-0.01
1698138279759840965,-0.01
1698138279848404884,-0.01
1698138279859854936,-0.01
1698138279948688983,-0.01
1698138279960041999,-0.01
1698138280048187017,-0.01
1698138280060292959,-0.01
1698138280148572921,-0.01
1698138280160715103,-0.01
1698138280248579978,-0.01
1698138280260174036,-0.01
1698138280348516941,-0.01
1698138280359936952,-0.01
